name,sex,NameCount,Rand
Almira,F,4,"0,769711497"
Almire,M,103,"0,027889998"
Alodie,F,18,"0,065664411"
Alois,M,2210,"0,168139647"
Aloïs,M,1235,"0,398482348"
Aloise,F,20,"0,851602918"
Aloise,M,1615,"0,252943245"
Aloïse,F,18,"0,97939019"
Alon,M,130,"0,110385629"
Alona,F,6,"0,570943174"
Alone,M,74,"0,612643683"
Alonso,M,6,"0,721156045"
Alonzo,M,254,"0,333284463"
Alou,M,3,"0,69670613"
Aloys,M,277,"0,438195793"
Aloyse,F,4,"0,48638462"
Aloyse,M,2413,"0,794136316"
Alparslan,M,9,"0,773051431"
Alper,M,59,"0,426616758"
Alperen,M,86,"0,318688349"
Alpha,M,258,"0,016703268"
Alphee,M,17,"0,531714711"
Alphena,F,3,"0,316137882"
Alphonse,F,12,"0,162675232"
Alphonse,M,40292,"0,214717623"
Alphonsia,F,28,"0,826342042"
Alphonsine,F,11236,"0,643487956"
Alphonso,M,10,"0,484039661"
Alric,M,6,"0,592451973"
Alrick,M,6,"0,394298596"
Alsace,F,38,"0,773969168"
Altan,M,3,"0,330218169"
Althea,F,22,"0,559148949"
Althéa,F,3,"0,221627626"
Altin,M,6,"0,720856649"
Alvaro,M,60,"0,036248746"
Alvin,M,708,"0,685349719"
Alvina,F,65,"0,135040767"
Alvine,F,47,"0,755043428"
Alvyn,M,23,"0,255188059"
Alwena,F,747,"0,42946261"
Alwenn,F,3,"0,336291243"
Alwenna,F,56,"0,049002361"
Alwin,M,13,"0,141816208"
Alwine,F,16,"0,335188496"
Aly,M,383,"0,443599303"
Alya,F,4570,"0,426486819"
Alyah,F,652,"0,601342693"
Alyan,M,3,"0,874463785"
Alyana,F,45,"0,092368257"
Alyanna,F,6,"0,03443694"
Alyce,F,3,"0,062189233"
Alycia,F,3974,"0,646216512"
Alyette,F,13,"0,853307173"
Alyna,F,9,"0,095185964"
Alyne,F,3,"0,177991751"
Alyre,M,8,"0,544067945"
Alys,F,15,"0,628894361"
Alysee,F,16,"0,835823619"
Alysha,F,6,"0,888140438"
Alyson,F,1300,"0,359113688"
Alysone,F,3,"0,47212573"
Alyssa,F,8657,"0,632227184"
Alyssia,F,2407,"0,73661661"
Alysson,F,269,"0,983901079"
Alyxe,F,3,"0,330711146"
Alyzéa,F,4,"0,837394038"
Alyzee,F,49,"0,044541564"
Alyzée,F,6,"0,50519665"
Alzina,F,3,"0,746966857"
Alzira,F,7,"0,803814264"
Alzire,F,6,"0,706052381"
Amable,M,65,"0,108422828"
Amadeo,M,10,"0,500869198"
Amadi,M,3,"0,192951531"
Amadou,M,1891,"0,528237826"
Amael,M,197,"0,010723542"
Amaël,M,165,"0,531974214"
Amaelle,F,12,"0,908826576"
Amaia,F,681,"0,603326053"
Amaïa,F,85,"0,012997598"
Amaiur,M,23,"0,786967562"
Amal,M,3,"0,343880089"
Amal,F,1810,"0,000683397"
Amale,F,93,"0,77817384"
Amalia,F,1155,"0,907279682"
Amalie,F,108,"0,128557964"
Amalya,F,162,"0,625443436"
Aman,M,6,"0,638202123"
Amana,F,16,"0,746622448"
Amance,F,8,"0,953274959"
Amand,M,2535,"0,416674807"
Amanda,F,3767,"0,97377699"
Amande,F,12,"0,929959633"
Amandine,F,94353,"0,223191749"
Amandio,M,3,"0,033752168"
Amane,M,3,"0,728188785"
Amane,F,13,"0,181273932"
Amani,F,423,"0,015447154"
Amanie,F,3,"0,454449409"
Amans,M,70,"0,82415069"
Amante,F,21,"0,599709205"
Amanthe,F,32,"0,133994395"
Amantine,F,6,"0,755120045"
Amany,F,9,"0,955090528"
Amar,M,4215,"0,799070387"
Amara,M,367,"0,787857519"
Amara,F,132,"0,058112886"
Amaria,F,89,"0,434825231"
Amarine,F,3,"0,256635475"
Amaryllis,F,7,"0,628866349"
Amateur,M,11,"0,889164034"
Amaury,M,15775,"0,329792662"
Amaya,F,635,"0,39674686"
Amayas,M,87,"0,664049354"
Amber,F,109,"0,947085963"
Ambre,F,43182,"0,105616482"
Ambrine,F,1752,"0,009515493"
Ambroise,F,37,"0,828112103"
Ambroise,M,3986,"0,54307359"
Ambroisine,F,1157,"0,049302547"
Amed,M,3,"0,326456406"
