FirstName,Gender,Popularity
Anelie,F,4
Anelka,M,7
Anella,F,3
Anelor,M,9
Anélya,F,13
Anelyse,F,3
Anemone,F,4
Anes,M,603
Anès,M,37
Anesie,F,9
Aness,M,24
Anette,F,3
Aneya,F,6
Anfal,F,37
Anfel,F,57
Ange,M,14568
Ange,F,1289
Ange-Antoine,M,3
Ange-Baptiste,M,3
Angebert,M,47
Ange-François,M,9
Angel,M,4614
Angel,F,190
Angela,F,5171
Angéla,F,43
Angelbert,M,6
Angele,F,226
Angèle,M,45
Angèle,F,66154
Angeles,F,14
Angeli,M,10
Angelia,F,3
Angelica,F,184
Angelie,F,34
Angelien,M,3
Angelika,F,7
Angelin,M,204
Angelina,F,14826
Angélina,F,828
Angeline,F,7593
Angéline,F,226
Angelino,M,3
Angeliqua,F,3
Angelique,F,73986
Angélique,F,13789
Angèlique,F,3
Angelita,F,18
Angelito,M,13
Angella,F,18
Angelle,F,9
Angelo,M,8213
Angélo,M,50
Ange-Louis,M,3
Angely,M,71
Angely,F,4
Angelyna,F,6
Angelyne,F,6
Ange-Marie,F,37
Ange-Marie,M,146
Ange-Mathieu,M,4
Anges,F,6
Anges,M,6
Ange-Toussaint,M,3
Anghjula,F,6
Anghjulina,F,83
Anghjulu,M,26
Angie,F,967
Angus,M,10
Angy,F,8
Angy,M,15
Anh,F,9
Anh,M,15
Ani,F,23
Ania,F,693
Anibal,M,3
Anic,F,9
Anice,M,12
Anicet,M,869
Anicet,F,73
Anicette,F,270
Anick,F,1532
Anie,F,65
Aniel,M,29
Aniela,F,197
Aniele,F,4
Anielle,F,35
Anifa,F,10
Anik,M,3
Anik,F,12
Anika,F,3
Anil,M,52
Anila,F,3
Anique,F,18
Anir,M,123
Anis,M,7674
Anisa,F,10
Anise,F,185
Anish,M,10
Anisha,F,3
Aniss,M,215
Anissa,F,16511
Anissah,F,3
Anisse,M,149
Anissia,F,9
Anita,F,24698
Anite,F,62
Anitha,F,4
Anjali,F,144
Anjalie,F,23
Anjaly,F,12
Anjela,F,6
Ann,F,102
Anna,F,107614
Annabel,F,962
Annabella,F,122
Annabelle,F,15772
Anna-Christina,F,4
Anna-Dea,F,40
Annaé,F,11
Annael,F,38
Annaelle,F,2558
Annaëlle,F,612
Annah,F,55
Annaick,F,463
Annaïck,F,13
Annaig,F,406
Annaïg,F,52
Annaik,F,24
Annais,F,3
Anna-Lesia,F,10
Anna-Lia,F,12
Anna-Lisa,F,3
Anna-Livia,F,32
Anna-Lou,F,15
Anna-Maria,F,530
Anna-Marie,F,3
Anna-Rose,F,19
Anne,F,362888
Anne,M,109
Annea,F,8
Anne-Aymone,F,3
Anne-Carole,F,13
Anne-Caroline,F,61
Anne-Catherine,F,1003
Anne-Cécile,F,2757
Anne-Céline,F,57
Anne-Chantal,F,12
Anne-Charlotte,F,2658
Anne-Christelle,F,3
Anne-Christine,F,349
Annecie,F,6
Anne-Claire,F,4078
Anne-Claude,F,174
Anne-Clémence,F,3
Annecy,F,207
Anne-Dominique,F,12
Anne-Elisabeth,F,65
Anne-Elise,F,7
Anne-Emilie,F,7
Anne-Emmanuelle,F,140
Anne-Eva,F,3
Anne-Fleur,F,3
Anne-Flore,F,65
Anne-Florence,F,23
Anne-France,F,333
Anne-Françoise,F,940
Anne-Frédérique,F,15
Anne-Gael,F,18
Anne-Gaël,F,3
Anne-Gaelle,F,1165
Anne-Gaëlle,F,151
Anne-Hélène,F,276
Anne-Isabelle,F,48
Anne-José,F,3
Anne-Julie,F,57
Anne-Karine,F,3
Anne-Laure,F,18488
Anne-Laurence,F,34
Anneliese,F,548
Anneline,F,10
Anne-Line,F,3
Annelise,F,517
Anne-Lise,F,5004
Annelle,F,3
Annelore,F,3
Anne-Lorraine,F,3
Anne-Louise,F,9
Annelyse,F,22
Anne-Lyse,F,56
Anne-Maelle,F,3
Annemarie,F,122
Anne-Marie,F,96764
Anne-Marine,F,6
Anne-Michèle,F,11
Anne-Pascale,F,18
Anne-Sandrine,F,3
Anne-Sarah,F,70
Anne-Soizic,F,6
Anne-Solène,F,23
Anne-Sophie,F,30527
Anne-Stéphanie,F,6
Anne-Sylvie,F,54
Annet,M,347
Anne-Thérèse,F,35
Annette,F,29992
Anne-Valérie,F,142
Anne-Véronique,F,3
Anne-Victoire,F,15
Anne-Yvonne,F,124
Anni,F,70
Annia,F,4
Annibal,M,3
Annic,F,514
Annick,M,6
Annick,F,129423
Annie,F,207417
Annie-Christine,F,4
Annie-Claire,F,18
Annie-Claude,F,751
Annie-Flore,F,3
Annie-France,F,245
Annie-Marie,F,10
Annie-Paule,F,3
Annie-Rose,F,20
Annik,F,1335
Annika,F,3
Annine,F,3
Annique,F,3
Annise,F,22
Annissa,F,18
Annita,F,457
Annoncia,F,169
Annonciade,F,1126
Annonciat,F,25
Annonciat,M,3
Annonciation,F,57
Annoncy,M,3
Annouk,F,3
Annunziata,F,3
Annwen,F,3
Annwenn,F,35
Anny,F,7170
Annyck,F,26
Anny-Claude,F,12
Annyvonne,F,39
Anoir,M,3
Anoki,M,3
Anonyme,F,164
Anonyme,M,285
Anouar,M,500
Anouchka,F,273
Anouck,F,910
Anouk,F,6966
Anoushka,F,3
Anousone,M,3
Ansar,M,3
Anselme,M,1196
Anselme,F,184
Anta,F,14
Anthea,F,264
Anthéa,F,29
Anthelme,M,200
Anthelmette,F,8
Anthelmine,F,38
Anthime,M,344
Anthonin,M,239
Anthonio,M,3
Anthonny,M,3
Anthony,M,171894
Anthonyn,M,4
Anthyme,M,92
Antime,M,3
Antinea,F,3
Antinéa,F,3
Anto,M,9
Antoine,M,273963
Antoine,F,158
Antoine-Joseph,M,3
Antoine-Marie,M,16
Antoinette,F,69674
Antoinise,F,104
Anton,M,2819
Antone,M,216
Antonella,F,403
Antonello,M,16
Antoni,M,323
Antonia,F,6672
Antonie,F,238
Antonie,M,36
Antonietta,F,223
Antonin,M,35949
Antonina,F,100
Antonine,F,1757
Antonino,M,249
Antonio,M,15904
